N,wall,user,system,mem.dat,wall,user,system,mem
1,0.000,0.000,0.000,1350.667,0.000,0.000,0.000,1029.333
2,0.000,0.000,0.000,1361.333,0.000,0.000,0.000,1765.333
3,0.000,0.000,0.000,1338.667,0.000,0.000,0.000,709.333
4,0.000,0.000,0.000,1342.667,0.000,0.000,0.000,485.333
5,0.000,0.000,0.000,1356.000,0.000,0.000,0.000,1296.000
6,0.000,0.000,0.000,1340.000,0.000,0.000,0.000,208.000
7,0.000,0.000,0.000,1333.333,0.000,0.000,0.000,1557.333
8,0.000,0.000,0.000,1312.000,0.000,0.000,0.000,912.000
9,0.010,0.007,0.000,1354.667,0.000,0.000,0.000,3845.333
10,0.050,0.050,0.000,1356.000,0.000,0.000,0.000,0.000
11,0.307,0.307,0.000,1358.667,0.000,0.000,0.000,37.333
12,1.710,1.707,0.000,1362.667,0.000,0.000,0.000,1477.333
13,9.637,9.617,0.000,1333.333,0.000,0.000,0.000,357.333
14,54.265,54.182,0.000,1322.000,0.008,0.008,0.000,837.333
